ID,BINK_ID,CID_MIN,CID_MAX,LIC_TYPE,ACT_DAYS
00,21,119,119,OEM,30
01,21,120,169,Retail,30
02,21,400,665,Retail,30
03,21,667,699,Retail,30
04,21,700,754,Retail,30
05,22,119,119,OEM,30
06,22,120,169,Retail,30
07,22,400,665,Retail,30
08,22,667,699,Retail,30
09,22,170,269,Retail,30
10,22,700,754,Retail,30
11,22,803,899,Retail,30
12,06,100,199,Embedded,None
13,06,200,899,Embedded,None
14,20,005,110,Evaluation,14
15,20,112,119,Evaluation,120
16,21,005,085,Retail,30
17,21,337,359,TablePC,60
18,22,005,085,Retail,30
19,22,337,359,TablePC,60
20,22,755,779,Retail,30
21,22,785,789,Retail,30
22,23,640,699,Corporate,None
23,22,360,369,TablePC,60
24,21,755,779,Retail,30
25,22,085,089,Retail,30
26,22,095,099,Retail,30
27,24,900,904,TablePC,60
28,24,119,119,OEM,30
29,24,120,169,Retail,30
30,24,400,665,Retail,30
31,24,667,699,Retail,30
32,24,700,754,Retail,30
33,24,905,999,Retail,30
34,25,119,119,OEM,30
35,25,120,169,Retail,30
36,25,400,665,Retail,30
37,25,667,699,Retail,30
38,25,170,269,Retail,30
39,25,700,754,Retail,30
40,25,803,899,Retail,30
41,25,291,300,TablePC,None
42,25,301,320,Retail,30
43,21,085,085,Retail,30
44,21,086,095,Retail,30
45,21,096,105,Retail,30
46,21,106,106,Retail,30
47,21,187,187,TablePC,60
48,21,188,188,TablePC,60
49,21,170,186,Retail,30
50,21,189,189,Retail,30
51,21,190,190,OEM,30
52,21,191,191,OEM,30
53,22,090,090,Retail,30
54,22,111,111,TablePC,60
55,22,112,112,TablePC,60
56,22,090,090,OEM,30
57,22,100,110,Retail,30
58,22,113,113,OEM,30
59,22,114,114,Retail,30
60,23,700,701,Corporate,None
61,23,704,705,Corporate,None
62,21,107,118,Retail,30
63,21,192,336,Retail,30
64,21,755,899,Retail,30
65,21,921,979,Retail,30
66,22,271,336,Retail,30
67,22,370,399,Retail,30
68,22,780,784,Retail,30
69,22,790,799,Retail,30
70,22,900,979,Retail,30
71,22,114,116,Retail,30
72,21,362,376,Retail,30
73,21,377,377,Retail,30
74,21,984,984,Retail,30
75,22,311,334,Retail,30
76,22,336,336,Retail,30
77,22,370,384,Retail,30
78,22,385,385,Retail,30
Wardial,0,1,3-99,,